"CONTEXT", "ID", "TEXT"
"BulletinInnerBoothTut2","Counter","Balcão"
"BulletinInnerBoothTut2","Audio Transcript<br>Rule Book<br>Weight<br>","Áudio Transcrito<br>
Livro de Regras<br>
Peso"
"BulletinInnerBoothTut2","Bulletin Storage<br>Time &amp; Date","Boletim<br>Data &amp; Hora"
"BulletinInnerBoothTut3","Arstotzkan<br>Ministry of Admission","Arstotzka<br>Ministério da Admissão"
"BulletinInnerBoothTut3","Inspector's Booth","Cabine do Inspetor"
"BulletinInnerBoothTut3","Shutter<br>Time &amp; Date<br>Weight","Grade<br>Data &amp; Hora<br>Peso"
"BulletinInnerBoothTut3","Counter","Balcão"
"BulletinInnerBoothTut3","Rule Book<br>Audio Transcript<br>Bulletin","Livro de Regras<br>
Áudio Transcrito<br>
Boletim"
"BulletinInnerGunTut","Weapons Protocol","Protocolo para Armas"
"BulletinInnerGunTut","WHEN ALARM SOUNDS","QUANDO O ALARME SOAR"
"BulletinInnerGunTut","Drop key on tumbler to unlock weapon.","Solte a chave na fechadura para destrancar a arma."
"BulletinInnerGunTut","Select gun, aim and fire.","Selecione a arma, mire e dispare."
"BulletinInnerGunTut","Time is short. Act fast.","O tempo é curto. Aja rápido."
"BulletinInnerFilerTut","ALTAN &nbsp; DISTRICT","DISTRITO &nbsp;  &nbsp; ALTAN"
"BulletinInnerFilerTut","Passport Confiscation","Confisco do Passaporte"
"BulletinInnerFilerTut","Verify ALTAN resident on id.","Verificar origem em ALTAN."
"BulletinInnerFilerTut","Drop passport in confiscation drawer.","Solte o passaporte na gaveta de confisco."
"BulletinInnerFilerTut","If arresting, confiscate before detaining.","Se a prisão for necessária, confisque antes de deter."
"BulletinInnerCriminals","Ministry of Justice","Ministério da Justiça"
"BulletinInnerCriminals","WANTED CRIMINALS","PROCURADOS"
"BulletinInnerNews","NEWS","NOTÍCIAS"
"BulletinPagesNote","CHECK ALL<br>PAGES","LEIA TODAS<br>AS PÁGINAS"
"CitationInner","M.O.A. CITATION","DEMÉRITO, M.D.A."
"DiplomaticAuthInner","Diplomatic<br>Authorization","Autorização<br>Diplomática"
"DiplomaticAuthInner","This document authorizes named agent as a diplomatic entity of a Council of Nations member state.","Este documento autoriza o agente nomeado como entidade diplomática de um estado membro do Conselho das Nações."
"DiplomaticAuthInner","AGENT","AGENTE"
"DiplomaticAuthInner","PASSPORT","PASSAPORTE"
"DiplomaticAuthInner","Unconditional access to all named Council of Nations member states must be granted upon presentation.","Garante acesso livre aos seguintes estados membros do Conselho:"
"DiplomaticAuthInner","This document has no expiry.","Este documento não expira."
"DiplomaticAuthInner","COUNCIL OF NATIONS - SEVEN MEMBER FORUM","CONSELHO E FÓRUM DAS SETE NAÇÕES"
"EntryPermitInner","ARSTOTZKA","ARSTOTZKA"
"EntryPermitInner","Entry Permit","Licença de Entrada"
"EntryPermitInner","Conditional entry to the sovereign nation of Arstotzka is hereby granted to","Esta licença concede entrada restrita à nação soberana da Arstotzka para:"
"EntryPermitInner","bearing passport number","Do passaporte de número:"
"EntryPermitInner","Purpose","Propósito"
"EntryPermitInner","Duration","Estadia"
"EntryPermitInner","Enter by","Válido até"
"EntryPermitInner","Ministry of Admission","Ministério da Admissão"
"EntryTicketInner","Arstotzka","Arstotzka"
"EntryTicketInner","ENTRY TICKET","BILHETE"
"EntryTicketInner","VALID ON","VÁL. EM"
"EzicNoteInnerOpen","READ QUICKLY","LEIA RAPIDAMENTE"
"EzicNoteInnerOpen","RETURN TO MESSENGER","DEVOLVA AO MENSAGEIRO"
"FamilyPhotoInner","HANG ON WALL","PENDURE NA PAREDE"
"FingerprintsInner","GIVE THIS PAPER TO APPLICANT","ENTREGUE AO APLICANTE"
"ForgeryFlyerInnerFront","NEED FORGED<br>OBRISTAN DOCS?","PRECISA FORJAR DOCUMENTOS?"
"ForgeryFlyerInnerFront","""It looks so real!""","""Parece tão real!"""
"ForgeryFlyerInnerFront","""Approved for entry!""","""Aprovado para entrada!"""
"ForgeryFlyerInnerFront","Fair rates!","Preços justos!"
"ForgeryFlyerInnerFront","No questions asked!","Sem perguntas!"
"ForgeryFlyerInnerFront","Fast turnaround!","Fica pronto rápido!"
"ForgeryFlyerInnerFront","CONDITIONS ON BACK","CONDIÇÕES NO VERSO"
"ForgeryFlyerInnerBack","PRICING (EACH)","VALORES (CADA)"
"ForgeryFlyerInnerBack","Passport *","Passaporte *"
"ForgeryFlyerInnerBack","Entry Ticket","Bilhete de Acesso"
"ForgeryFlyerInnerBack","*<br>","*<br>"
"ForgeryFlyerInnerBack","Client must provide existing Obristan passport to be modified with new info","Cliente deve fornecer o passaporte Obristano a ser modificado"
"ForgeryFlyerInnerBack","Service at border Arstotzka/Obristan","Serviço na fronteira Arstotzka/Obristão"
"ForgeryFlyerInnerBack","Ask for Timofei Wee","Pergunte por Timofei Wee"
"GymFlyerInner","Underweight?Weak?Tired?","Magrelo? Fraco? Cansado?"
"GymFlyerInner","JOIN BEST GYM!","ACA-
DE-
MIA!"
"GymFlyerInner","GET BIG TOWN","FIQUE FORTOWN"
"GymFlyerInner","East Grestin","Grestin Leste"
"HintMissingInner","THIS ENTRANT HAS NO DOCUMENTS","APLICANTE NÃO POSSUI DOCUMENTOS"
"HintMissingInner","To proceed, use INSPECT mode to interrogate.","Para prosseguir, questione através do modo INSPEÇÃO."
"HintMissingInner","Review page 2 of today's bulletin for full instructions.","Estude a página 2 do boletim de hoje para mais instruções."
"IdCardInner","ARSTOTZKA IDENTITY CARD","IDENTIDADE ARSTOTZKANA"
"IdCardInner","DOB","NASC."
"IdCardInner","HT.","ALT."
"IdCardInner","WT.","PES."
"IdentityRecordInner","M.O.A. IDENTITY RECORD","REGISTRO DE IDENTIDADES DO M.D.A."
"IdentityRecordInner","NAME:","NOME:"
"IdentityRecordInner","ALIAS:","NOME ALT. :"
"IdentityRecordInner","Applicant's fingerprints and claimed name/alias must match this record.","Digitais e nomes declarados devem corresponder a esse registro."
"IdSupplementInner","IDENTITY<br>SUPPLEMENT","CARTÃO COMPLEMENTAR"
"IdSupplementInner","HT","ALT."
"IdSupplementInner","WT","PES."
"IdSupplementInner","DESCRIPTION","DSCRIÇÃO"
"IdSupplementInner","THUMB","POLEGAR"
"IdSupplementInner","Keep on person","Tenha à mão"
"IdSupplementInner","EXP.","VALID."
"LocketInnerOpen","To Sergiu from your Elisa","Para Sergiu, de Elisa"
"LocketInnerOpen","I Love You Always","Amor Eterno"
"LoveSongInner1","YOU","VoCÊ"
"LoveSongInner1","YOU ARE HOT LIKE FIRE","É FOGO DA PAIXÃO"
"LoveSongInner2","you","vocÊ"
"LoveSongInner2","OBJECT OF DESIRE","OBJETO DE TENTAÇÃO"
"LoveSongInner3","YOU<br>(AGAIN)","VOCÊ<br>(de<br>novo)"
"LoveSongInner3","WRAP MY HEART IN WIRE","AMaRROU MEU CORAÇÃO"
"LoveSongInner4","ApPROVED","APROVADO"
"LoveSongInner4","APPROVE MY VISA","APROVA MEu VISTO"
"tweak-passport-field-padding-left","2px","1px"
"PassportInnerAntegria","ENTRY VISA","VISTO DE ENTRADA"
"PassportInnerAntegria","DOB.","NASC."
"PassportInnerAntegria","SEX","SEX."
"PassportInnerAntegria","ISS.","ORIG."
"PassportInnerAntegria","EXP.","VAL."
"PassportInnerAntegria","ANTEGRIA","ANTEGRIA"
"tweak-passport-arstotzka-nation","16px","16px"
"PassportInnerArstotzka","ENTRY VISA","VISTO DE ENTRADA"
"PassportInnerArstotzka","DOB.","NASC."
"PassportInnerArstotzka","SEX","SEX."
"PassportInnerArstotzka","ISS.","ORIG."
"PassportInnerArstotzka","EXP.","VAL."
"PassportInnerArstotzka","ARSTOTZKA","ARSTOTZKA"
"PassportInnerImpor","ENTRY VISA","VISTO"
"PassportInnerImpor","DOB.","NASC."
"PassportInnerImpor","SEX","SEX."
"PassportInnerImpor","ISS.","ORIG."
"PassportInnerImpor","EXP.","VAL."
"PassportInnerImpor","IMPOR","IMPOR"
"PassportInnerKolechia","ENTRY VISA","VISTO"
"PassportInnerKolechia","DOB.","NASC."
"PassportInnerKolechia","SEX","SEX."
"PassportInnerKolechia","ISS.","ORIG."
"PassportInnerKolechia","EXP.","VAL."
"PassportInnerKolechia","KOLECHIA","KOLECHIA"
"PassportInnerObristan","ENTRY VISA","VISTO DE ENTRADA"
"PassportInnerObristan","DOB.","NASC"
"PassportInnerObristan","SEX","SEX."
"PassportInnerObristan","ISS.","ORIG."
"PassportInnerObristan","EXP.","VAL."
"PassportInnerObristan","OBRISTAN","OBRISTÃO"
"PassportInnerRepublia","ENTRY VISA","VISTO"
"PassportInnerRepublia","DOB.","NASC"
"PassportInnerRepublia","SEX","SEX."
"PassportInnerRepublia","ISS.","ORIG."
"PassportInnerRepublia","EXP.","VAL."
"PassportInnerRepublia","REPUBLIA","REPUBLIA"
"PassportInnerUnitedFed","ENTRY VISA","VISTO DE ENTRADA"
"PassportInnerUnitedFed","DOB.","NASC."
"PassportInnerUnitedFed","SEX","SEX."
"PassportInnerUnitedFed","ISS.","ORIG."
"PassportInnerUnitedFed","EXP.","VAL."
"PassportInnerUnitedFed","UNITED FEDERATION","FEDERAÇÃO UNIDA"
"PlaqueOneInner","Ministry of Admission","Ministério da Admissão"
"PlaqueOneInner","RECOGNITION","RECONHECIMENTO"
"PlaqueOneInner","FOR","POR"
"PlaqueOneInner","HANG ON WALL","PENDURE NA PAREDE"
"PlaqueTwoInner","Ministry of Admission","Ministério da Admissão"
"PlaqueTwoInner","RECOGNITION","RECONHECIMENTO"
"PlaqueTwoInner","FOR","POR"
"PlaqueTwoInner","HANG ON WALL","PENDURE NA PAREDE"
"PoisonInnerBack","OPEN","ABRIR"
"PoisonInnerOpen1","DO NOT TOUCH POWDER","NÃO TOQUE NO PÓ"
"PoisonInnerOpen1","CLOSE","FECHAR"
"PoisonInnerOpen2","ALIGN POWDER OVER PASSPORT","ALINHE PÓ SOBRE PASSAPORTE"
"PoisonInnerOpen2","PUSH HARD TO AFFIX","PRESSIONE FIRME PARA FIXAR"
"PoisonInnerOpen2","CLOSE","FECHAR"
"PoliceBadgeInner","MINISTRY OF INFORMATION","MINISTÉRIO DA INFORMÇÃO"
"PoliceBadgeInner","Office of Investigation","Departamento de Investigação"
"PoliceBadgeInner","East Grestin Division","Divisão Grestin Leste"
"PoliceBadgeInner","Special Investigator","Investigador Especial"
"PoliceBadgeInner","MOI","MDI"
"tweak-press-pass-title-weight","'wght' 900","'wght' 900"
"PressPassInner","INTERNATIONAL","IDENTIFICAÇÃO DE"
"PressPassInner","PRESS","MÍDIA"
"PressPassInner","IDENTIFICATION","INTERNACIONAL"
"RuleDiploAccess","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA","AUTORIZAÇÃO PRECISA GARANTIR ACESSO<br> À ARSTOTZKA"
"RuleIssuingCity","PASSPORT <span>ISS.</span> FIELD MUST BE VALID","CAMPO DE <span>ORIG.</span> PRECISA SER VÁLIDO"
"RuleSealRequired","DOCUMENT MUST<br>HAVE A SEAL","DOCUMENTOS PRECISAM<br>TER UM SELO"
"RulesInnerHome","Arstotzkan","Arstotzka"
"RulesInnerHome","Ministry<span>of</span>Admission","Ministério<span>da</span>Admissão"
"RulesInnerHome","RULES","REGRAS"
"RulesInnerHome","&amp;","&amp;"
"RulesInnerHome","REGULATIONS","REGULAMENTOS"
"RulesInnerHome","for Inspectors","para Inspetores"
"RulesInnerHome","CONTENTS","ÍNDICE"
"RulesInnerHome","PROPERTY OF","PROPRIEDADE DO"
"RulesInnerHome","M.O.A","M.D.A"
"RulesInnerBasic","RULES","REGRAS"
"RulesInnerRegion","DIPLOMATIC SEALS","SELOS DIPLOMÁTICOS"
"RulesInnerRegion","PASSPORT","PASSAPORTE"
"RulesInnerRegion","ISSUING CITIES","CIDADES EMISSORAS"
"RulesInnerRegionArstotzka","DISTRICTS","DISTRITOS"
"RulesInnerRegionArstotzka","PASSPORT","PASSAPORTE"
"RulesInnerRegionArstotzka","ISSUING CITIES","CIDADES EMISSORAS"
"RulesInnerBooth","INSPECTOR'S BOOTH","CABINE DO INSPETOR"
"RulesInnerBooth","Shutter","Grade"
"RulesInnerBooth","Counter","Balcão"
"RulesInnerBooth","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date","Regras<br>Áudio Trans.<br>Boletim<br>Data &amp; Hora"
"RulesInnerBooth","UPGRADES","APRIMORAMENTOS"
"RulesInnerBooth","NO UPGRADES<br>INSTALLED","NENHUM APRIMORAMENTO<br>INSTALADO"
"RulesInnerBooth2","INSPECTOR'S BOOTH","CABINE DO INSPETOR"
"RulesInnerBooth2","Shutter","Grade"
"RulesInnerBooth2","Counter","Balcão"
"RulesInnerBooth2","Audio Trans.<br>Rule Book<br>Weight","Áudio Trans.<br>
Regras<br>
Peso"
"RulesInnerBooth2","Bulletin<br>Time &amp; Date","Boletim<br>Data &amp; Hora"
"RulesInnerBooth2","UPGRADES","APRIMORAMENTOS"
"RulesInnerBooth2","NO UPGRADES<br>INSTALLED","NENHUM APRIMORAMENTO<br>INSTALADO"
"RulesInnerBooth3","INSPECTOR'S BOOTH","CABINE DO INSPETOR"
"RulesInnerBooth3","Shutter<br>Time &amp; Date<br>Weight","Grade<br>Data &amp; Hora<br>Peso"
"RulesInnerBooth3","Counter","Balcão"
"RulesInnerBooth3","Rule Book<br>Audio Trans.<br>Bulletin","Livro de Regras<br>Áudio Transcrito<br>Boletim"
"RulesInnerBooth3","UPGRADES","APRIMORAMENTOS"
"RulesInnerBooth3","NO UPGRADES<br>INSTALLED","NENHUM APRIMORAMENTO<br>INSTALADO"
"RulesInnerDocs","OFFICIALLY RECOGNIZED","DOCUMENTOS RECONHECIDOS"
"RulesInnerDocs","DOCUMENTS","OFICIALMENTE"
"RulesInnerDocs","CONTENTS","ÍNDICE"
"RulesInnerEntryPermit","ENTRY PERMIT","LICENÇA DE ENTRADA"
"RulesInnerEntryPermit","VALID SEALS","SELOS VÁLIDOS"
"RulesInnerIdCard","ARSTOTZKAN<br>ID CARD","IDENTIDADE<br>ARSTOTZKANA"
"RulesInnerIdCard","ISSUED TO ALL ARSTOTZKAN CITIZENS","EMITIDO A TODOS OS CIDADÃOS ARSTOTZKANOS"
"RulesInnerIdCard","DISTRICTS","DISTRITOS"
"RulesInnerIdSupplement","IDENTITY<br>SUPPLEMENT","CARTÃO COMPLEMENTAR"
"RulesInnerIdSupplement","ISSUED TO ALL QUALIFIED FOREIGNERS","EMITIDO A TODOS OS ESTRANGEIROS QUALIFICADOS"
"RulesInnerIdSupplement","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE","PARA VERIFICAÇÃO DA APARÊNCIA FÍSICA DO ESTRANGEIRO"
"RulesInnerIdSupplement","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE","VERIFIQUE POLEGAR SOMENTE QUANDO O REGISTRO DAS DIGITAIS ESTIVER DISPONÍVEL"
"RulesInnerIdSupplement","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY","ESTE É UM DOCUMENTO DE CURTA VALIDADE - VERIFIQUE VENCIMENTO COM CUIDADO"
"RulesInnerAccessPermit","ACCESS PERMIT","LICENÇA DE ACESSO"
"RulesInnerAccessPermit","VALID SEALS","SELOS VÁLIDOS"
"RulesInnerAccessPermit","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT","ESSE DOCUMENTO SUBSTITUI A LICENÇA DE ENTRADA E O CARTÃO COMPLEMENTAR"
"RulesInnerWorkPermit","WORK PASS","VISTO DE TRABALHO"
"RulesInnerWorkPermit","ISSUED TO ALL QUALIFIED FOREIGN LABOR","EMITIDO A TODO TRA-<br>BALHADOR ESTRANGEIRO QUALIFICADO"
"RulesInnerWorkPermit","VALID SEALS","SELOS VÁLIDOS"
"RulesInnerDiplomaticAuth","DIPLOMATIC","AUTORIZAÇÃO"
"RulesInnerDiplomaticAuth","AUTHORIZATION","DIPLOMÁTICA"
"RulesInnerDiplomaticAuth","VALIDATE SEAL WITH COUNTRY PAGE","COMPARE COM O SELO<br> NA PÁGINA DE PAÍSES"
"RulesInnerAsylumGrant","GRANT OF<br>ASYLUM","GARANTIA<br>DE ASILO"
"RulesInnerAsylumGrant","VALID SEALS","SELOS VÁLIDOS"
"RulesInnerAsylumGrant","ALWAYS VERIFY FINGERPRINTS","SEMPRE VERIFICAR DIGITAIS"
"RulesInnerVaccineCert","VACCINE CERTIFICATE","CARTÃO DE VACINAÇÃO"
"RulesInnerVaccineCert","MINISTRY","MINISTÉRIO"
"RulesInnerVaccineCert","OF","DA"
"RulesInnerVaccineCert","HEALTH","SAÚDE"
"RulesInnerVaccineCert","REGULATION DOCUMENT","DOCUMENTO DE REGULAMENTAÇÃO"
"RulesInnerVaccineCert","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS","VACINAÇÃO CONTRA PÓLIO REQUERIDA PARA TODOS OS APLICANTES"
"RulesInnerVaccineCert","NO EXCEPTIONS","SEM EXCEÇÕES"
"RulesInnerConfiscation","PASSPORT CONFISCATION","CONFISCO DE PASSAPORTE"
"RulesInnerConfiscation","DROP PASSPORT IN CONFISCATION DRAWER","SOLTE O PASSAPORTE NA GAVETA DE CONFISCO"
"RulesInnerConfiscation","POLICY","DIRETRIZ"
"RulesInnerConfiscation","PASSPORT MUST BE CONFISCATED BEFORE DETAINING","PASSAPORTE PRECISA SER CONFISCADO ANTES DE UMA DETENÇÃO"
"RulesInnerConfiscation","MOI","MDI"
"tweak-rulesinnerlast-moa-style","propaganda","propaganda"
"tweak-rulesinnerlast-moa-style","0px","0px"
"RulesInnerLast","PROPERTY OF","PROPRIEDADE DO"
"RulesInnerLast","M.O.A.","M.D.A."
"RulesInnerLast","GLORY TO ARSTOTZKA","GLÓRIA À ARSTOTZKA"
"RulesInnerLast","Arstotzkan","Arstotzka"
"RulesInnerLast","Ministry of Admission","Ministério da Admissão"
"RulesInnerLast","Rules &amp; Regulations","Regras e Regulamentos"
"RulesInnerLast","for Inspectors","para Inspetores"
"RulesInnerLast","1982-1983 Edition","Edição 1982-1983"
"RulesInnerLast","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY","NÃO DISTRIBUA.<br>RISCO DE PUNIÇÃO<br>SEVERA"
"RulesTabConfL","CONF.","CONF."
"RulesTabConfR","CONF.","CONF."
"RulesTabDocsL","DOCS","DOCS"
"RulesTabDocsR","DOCS","DOCS"
"RulesTabMapL","MAP","MAPA"
"RulesTabMapR","MAP","MAPA"
"RulesTabRulesL","RULES","REGRAS"
"RulesTabRulesR","RULES","REGRAS"
"RulesUpgrade0","TOGGLE INSPECT","ATIVAR INSPEÇÃO"
"RulesUpgrade0","SPACE","ESPAÇO"
"RulesUpgrade1","TOGGLE STAMP BAR","ATIVAR CARIMBOS"
"RulesUpgrade1","TAB","TAB"
"RulesUpgrade2","RULEBOOK SHORTCUTS","ATALHOS PARA REGRAS"
"RulesUpgrade3","QUICK INSPECT","INSPEÇÃO RÁPIDA"
"RulesUpgrade3","DOUBLE-CLICK","CLIQUE-DUPLO"
"RulesUpgrade4","MULTITOUCH","MULTITOQUE"
"SeizureSlipInner","Arstotzka Ministry of Admission","Ministério da Admissão de Arstotzka"
"SeizureSlipInner","PASSPORT SEIZURE SLIP","GUIA PARA PASSAPORTE CONFISCADO"
"SeizureSlipInner","ENTRY VISA","VISTO"
"SeizureSlipInner","Your passport has been seized.","Seu passaporte foi confiscado."
"SeizureSlipInner","Contact 1509-6103 for redress.","Contate 1509-6103 para 2ª via."
"SpyDocsInnerBack","Mating Habits of Lesser Kolechian Waterfowl","Hábitos de Acasalamento das Aves   Kolechianas"
"SpyDocsInnerBack","A FULL REPORT","UM RELATÓRIO COMPLETO"
"SpyDocsInnerBack","Ministry of Information","Ministério da Informação"
"TranscriptInner","AUDIO TRANSCRIPT","ÁUDIO TRANSCRITO"
"VaccineCertInner","Certificate<span>of</span>Vaccination","Cartão<span>de</span>Vacinação"
"VaccineCertInner","ID#","IDENT."
"VaccineCertInner","DATE","DATA"
"VaccineCertInner","VACCINE","VACINA"
"VaccineCertInner","Vax valid for 3 years","Vacina válida por 3 anos"
"VisaSlipInner","TEMPORARY VISA SLIP","GUIA PARA VISTO TEMPORÁRIO"
"VisaSlipInner","ENTRY VISA","VISTO"
"VisaSlipInner","TO BE USED FOR DENIALS ONLY","USAR APENAS<br>PARA RECUSAS"
"WorkPermitInner","Ministry of Labor","Ministério do Trabalho"
"WorkPermitInner","Work Pass","Visto de Trabalho"
"WorkPermitInner","This pass grants its holder the right to work in a specific field for a limited time.","Garante ao titular o direito de trabalhar por tempo limitado no ramo abaixo."
"WorkPermitInner","HOLDER","NOME"
"WorkPermitInner","FIELD","RAMO"
"WorkPermitInner","UNTIL","ATÉ"
"WorkPermitInner","Keep this pass with you at all times.","Tenha este visto sempre em mãos."
"EndNews","Kolechian Consensus Reached Over Grestin","Kolechia Chega a um Acordo Sobre Grestin"
"ApartmentClass","CLASS","CLASSE"
"DetainButton","DETAIN","DETER"
"FingerprintButton","FINGERPRINT","DIGITAIS"
"SearchButton","SEARCH","REVISTAR"
"EmblemsMOA","M.O.A","M.D.A"
"EmblemsMOA","M.O.L","M.D.T"
"EmblemsMOL","M.O.L","M.D.T"
"Filer","CONFISCATED DOCUMENTS","DOCUMENTOS CONFISCADOS"
"Filer","PROPERTY OF","PROPRIEDADE"
"Filer","M.O.A.","M.D.A"
"GiveIcon","GIVE","DEVOLVER"
"LoadButtonNew","NEW","NOVO"
"LoadDay","DAY","DIA"
"LoadDrag","DRAG TO SCROLL","ARRASTE PARA ROLAR"
"News","The Truth of Arstotzka","A Verdade de Arstotzka"
"News","No Charge","Grátis"
"ReasonButton","REASON","RAZÃO"
"RifleKill","KILL","MATAR"
"RifleTranq","TRANQ","TRANQ."
"StampBarMid","ALIGN VISA BENEATH STAMP","ALINHAR VISTO ABAIXO DO CARIMBO"
"Upgrades","SPACE","ESPAÇO"
"Upgrades","TAB","TAB"
"image:ArskickersInner.png","capture/ArskickersInner.png","final/pt-BR/ArskickersInner.png"
"ArskickersInner","HANG ON WALL","PENDURE NA PAREDE"
"image:BrothelFlyerInner.png","capture/BrothelFlyerInner.png","final/pt-BR/BrothelFlyerInner.png"
"BrothelFlyerInner","East Grestin","Grestin Leste"
"BrothelFlyerInner","FOR ALL YOUR FANTASIES","P/ TODAS SUAS FANTASIAS"
"image:PezpertInner.png","capture/PezpertInner.png","final/pt-BR/PezpertInner.png"
"PezpertInner","STAMP HERE","CARIMBO AQuI"
"image:SonDrawingInner.png","capture/SonDrawingInner.png","final/pt-BR/SonDrawingInner.png"
"SonDrawingInner","hanG on wAll","coloca nA paREde"
"image:SonDrawingOuter.png","capture/SonDrawingOuter.png","final/pt-BR/SonDrawingOuter.png"
"image:SonDrawingMount.png","capture/SonDrawingMount.png","final/pt-BR/SonDrawingMount.png"
"image:VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png","final/pt-BR/VictimPhotoInnerBack.png"
"image:Emotions.png","export/Emotions.png","final/pt-BR/Emotions.png"
"image:LoadButtonLatest.png","export/LoadButtonLatest.png","final/pt-BR/LoadButtonLatest.png"
"image:InkApproved.png","export/InkApproved.png","final/pt-BR/InkApproved.png"
"image:InkDenied.png","export/InkDenied.png","final/pt-BR/InkDenied.png"
"image:StampBotApproved.png","export/StampBotApproved.png","final/pt-BR/StampBotApproved.png"
"image:StampBotDenied.png","export/StampBotDenied.png","final/pt-BR/StampBotDenied.png"
"image:ReasonStampTop.png","export/ReasonStampTop.png","final/pt-BR/ReasonStampTop.png"
"image:InkReason.png","export/InkReason.png","final/pt-BR/InkReason.png"
